Betweenness Centrality:
Indiana: 0.020498159932875414
OklahomaState: 0.010360655316940269
OregonState: 0.0030021221558908613
Maryland: 0.008957088213405547
TexasChristian: 0.014370414434605228
California: 0.0075158855048337025
AlabamaBirmingham: 0.01158158129803153
Arkansas: 0.006498110552695201
Hawaii: 0.010246338156874259

Closeness Centrality:
BrighamYoung: 0.42379182156133827
FloridaState: 0.41304347826086957
Iowa: 0.40714285714285714
KansasState: 0.42066420664206644
NewMexico: 0.4028268551236749
TexasTech: 0.3838383838383838
PennState: 0.4253731343283582
SouthernCalifornia: 0.4014084507042254
ArizonaState: 0.36075949367088606
SanDiegoState: 0.397212543554007
Baylor: 0.38127090301003347
NorthTexas: 0.4028268551236749
NorthernIllinois: 0.3904109589041096
Northwestern: 0.42066420664206644
WesternMichigan: 0.38513513513513514
Wisconsin: 0.42379182156133827
Wyoming: 0.42379182156133827
Auburn: 0.41155234657039713
Akron: 0.38
VirginiaTech: 0.3904109589041096
Alabama: 0.4028268551236749
UCLA: 0.397212543554007
Arizona: 0.36774193548387096
Utah: 0.38513513513513514
ArkansasState: 0.42379182156133827
NorthCarolinaState: 0.41304347826086957
BallState: 0.3986013986013986
Florida: 0.3825503355704698
BoiseState: 0.40860215053763443
BostonCollege: 0.4
WestVirginia: 0.41007194244604317
BowlingGreenState: 0.3787375415282392
Michigan: 0.41007194244604317
Virginia: 0.3877551020408163
Buffalo: 0.37623762376237624
Syracuse: 0.397212543554007
CentralFlorida: 0.4014084507042254
GeorgiaTech: 0.3944636678200692
CentralMichigan: 0.40425531914893614
Purdue: 0.40714285714285714
Colorado: 0.3986013986013986
ColoradoState: 0.3958333333333333
Connecticut: 0.37012987012987014
EasternMichigan: 0.3958333333333333
EastCarolina: 0.4
Duke: 0.397212543554007
FresnoState: 0.3931034482758621
OhioState: 0.40569395017793597
Houston: 0.41007194244604317
Rice: 0.40425531914893614
Idaho: 0.3986013986013986
Washington: 0.3944636678200692
Kansas: 0.397212543554007
SouthernMethodist: 0.41155234657039713
Kent: 0.3737704918032787
Pittsburgh: 0.3931034482758621
Kentucky: 0.38127090301003347
Louisville: 0.397212543554007
LouisianaTech: 0.4367816091954023
LouisianaMonroe: 0.397212543554007
Minnesota: 0.41155234657039713
MiamiOhio: 0.40425531914893614
Vanderbilt: 0.3917525773195876
MiddleTennesseeState: 0.41911764705882354
Illinois: 0.4175824175824176
MississippiState: 0.3958333333333333
Memphis: 0.4014084507042254
Nevada: 0.4014084507042254
Oregon: 0.3917525773195876
NewMexicoState: 0.4222222222222222
SouthCarolina: 0.40425531914893614
Ohio: 0.3917525773195876
IowaState: 0.41007194244604317
SanJoseState: 0.38513513513513514
Nebraska: 0.4
SouthernMississippi: 0.397212543554007
Tennessee: 0.3787375415282392
Stanford: 0.3917525773195876
WashingtonState: 0.3665594855305466
Temple: 0.3917525773195876
Navy: 0.4351145038167939
TexasA&M: 0.40569395017793597
NotreDame: 0.4222222222222222
TexasElPaso: 0.3944636678200692
Oklahoma: 0.38513513513513514
Toledo: 0.3931034482758621
Tulane: 0.41007194244604317
Mississippi: 0.40860215053763443
Tulsa: 0.43018867924528303
NorthCarolina: 0.40425531914893614
UtahState: 0.3917525773195876
Army: 0.41605839416058393
Cincinnati: 0.42379182156133827
AirForce: 0.40860215053763443
Rutgers: 0.3917525773195876
Georgia: 0.38513513513513514
LouisianaState: 0.37623762376237624
LouisianaLafayette: 0.3958333333333333
Texas: 0.3877551020408163
Marshall: 0.37623762376237624
MichiganState: 0.4028268551236749
MiamiFlorida: 0.40425531914893614
Missouri: 0.4014084507042254
Clemson: 0.3904109589041096
NevadaLasVegas: 0.4222222222222222
WakeForest: 0.3864406779661017
Indiana: 0.42696629213483145
OklahomaState: 0.3986013986013986
OregonState: 0.35403726708074534
Maryland: 0.3917525773195876
TexasChristian: 0.41304347826086957
California: 0.3825503355704698
AlabamaBirmingham: 0.3958333333333333
Arkansas: 0.37748344370860926
Hawaii: 0.41304347826086957
